loss,actor_loss,critic_loss,mean_entropy,mean_reward,mean_value,mean_returns,mean_advantage,gradient_norm
0.0359,0.0357,0.0182,0.8833,0.3187,1.3120,1.3017,-0.0667,2.2589
-0.0139,-0.0181,0.0296,1.0696,0.2886,1.1713,1.1683,-0.0354,0.7829
-0.1049,-0.1135,0.0332,0.8060,0.3068,1.1961,1.2219,0.0640,1.6566
-0.0089,-0.0180,0.0387,1.0204,0.2760,1.2039,1.1976,-0.0088,0.7101
0.0402,0.0454,0.0089,0.9626,0.3080,1.1457,1.1358,-0.1182,0.9887
-0.0089,-0.0430,0.0861,0.8969,0.2549,1.1472,1.0544,-0.0073,1.4951
-0.1111,-0.1118,0.0219,1.0261,0.2330,1.1255,1.1667,0.0326,1.2567
-0.0776,-0.0923,0.0464,0.8566,0.3792,1.1237,1.2171,0.0486,1.1831
-0.0956,-0.0935,0.0158,0.9962,0.3028,1.2844,1.2380,0.0457,1.3762
0.0455,0.0330,0.0456,1.0301,0.2670,1.1508,1.1001,-0.0648,0.9794
-0.0439,-0.0436,0.0196,1.0064,0.2531,1.1567,1.1221,-0.0148,1.0363
-0.0196,-0.0211,0.0225,0.9809,0.2963,1.1838,1.1996,-0.0287,1.3327
-0.0953,-0.0952,0.0154,0.7862,0.3072,1.2742,1.2718,0.0495,0.5279
-0.1336,-0.1270,0.0086,1.0873,0.2896,1.1997,1.2316,0.0755,1.0381
-0.1066,-0.0999,0.0109,1.2100,0.3188,1.2084,1.2425,0.0168,1.0041
0.0120,-0.0054,0.0530,0.9054,0.3602,1.1781,1.2100,-0.0409,0.5087
-0.0472,-0.0522,0.0318,1.0846,0.2837,1.0647,1.0258,0.0101,1.9360
0.0191,-0.0002,0.0543,0.7914,0.2950,1.2553,1.2286,-0.0450,1.3687
-0.0463,-0.0567,0.0423,1.0654,0.2485,1.0909,1.1046,0.0112,1.1200
-0.0643,-0.0590,0.0118,1.1260,0.3323,1.1931,1.1913,-0.0034,0.5454
-0.0577,-0.0538,0.0138,1.0751,0.3366,1.1674,1.2077,0.0043,0.8555
-0.0536,-0.0539,0.0191,0.9212,0.3076,1.2728,1.2504,0.0167,0.5282
-0.0801,-0.0771,0.0142,1.0128,0.2679,1.1363,1.2083,-0.0075,1.0012
-0.1189,-0.1169,0.0141,0.9096,0.2873,1.2501,1.2456,0.0757,0.6378
0.0728,0.0793,0.0142,1.3682,0.3547,1.3419,1.2507,-0.1442,2.2539
-0.0838,-0.0799,0.0209,1.4344,0.2820,1.0741,1.1118,0.0192,0.9403
-0.0393,-0.0321,0.0084,1.1437,0.2779,1.1739,1.2248,-0.0218,1.3224
-0.1542,-0.1510,0.0236,1.4943,0.2926,1.1718,1.2495,0.0875,0.9459
-0.0754,-0.0685,0.0162,1.5000,0.2661,1.0734,1.0863,-0.0138,1.1068
