loss,actor_loss,critic_loss,mean_entropy,mean_reward,mean_value,mean_returns,mean_advantage,gradient_norm
0.1098,0.0872,0.0941,2.4470,0.2472,1.0367,0.8803,-0.1683,1.9451
-0.1406,-0.1240,0.0147,2.3972,0.2496,1.1231,1.1302,0.0015,0.6242
-0.1175,-0.1224,0.0525,2.1396,0.2869,1.1350,1.0727,0.0163,1.0254
-0.0575,-0.0519,0.0371,2.4127,0.2710,1.0567,1.0741,-0.0139,1.2323
-0.1293,-0.1269,0.0426,2.3813,0.2638,1.0648,1.0417,0.0635,0.5992
-0.1215,-0.1417,0.0878,2.3687,0.2277,0.8872,0.8874,0.0507,1.3311
-0.0329,-0.0309,0.0498,2.6923,0.2290,0.9596,0.9364,-0.0264,1.2096
-0.1227,-0.1098,0.0219,2.3863,0.2971,1.0521,1.0372,0.0444,2.0826
-0.2403,-0.2225,0.0107,2.3258,0.3138,1.2971,1.2926,0.1035,1.2371
-0.1837,-0.1655,0.0143,2.5309,0.2757,1.1489,1.1709,0.0682,1.1666
-0.0110,-0.0447,0.1092,2.0915,0.2568,0.8472,0.9296,-0.0524,1.1753
-0.1201,-0.1177,0.0395,2.2171,0.2521,1.0580,1.0795,0.0323,0.9882
0.0158,0.0030,0.0652,1.9745,0.2697,1.0041,1.0048,-0.0791,0.5707
-0.1202,-0.1122,0.0235,1.9796,0.3396,1.0616,1.1351,0.0235,0.9937
-0.0166,-0.0077,0.0225,2.0101,0.2649,1.1035,1.0793,-0.0948,1.2562
0.0151,0.0033,0.0637,2.0015,0.2799,0.9696,0.9506,-0.0826,1.3691
0.0229,-0.0278,0.1385,1.8522,0.2613,0.9061,0.9187,-0.0748,1.2424
-0.0589,-0.0982,0.1165,1.8900,0.2514,0.9266,0.9447,-0.0077,0.8136
-0.1186,-0.1248,0.0546,2.1053,0.2532,1.0319,1.0977,0.0640,2.1144
0.0119,0.0209,0.0244,2.1237,0.2531,1.0133,1.0526,-0.0959,0.9291
-0.0861,-0.0730,0.0079,1.7065,0.2609,1.2833,1.2570,-0.0033,2.1210
-0.2853,-0.2678,0.0066,2.0850,0.2795,1.2206,1.2197,0.1811,1.7587
-0.0147,-0.0007,0.0101,1.9006,0.3042,1.2413,1.1993,-0.0684,4.5900
-0.1289,-0.1330,0.0476,1.9736,0.2965,1.0236,1.0165,0.0386,0.8344
-0.1439,-0.1324,0.0202,2.1556,0.2880,1.1276,1.1241,0.0686,0.7038
-0.0713,-0.0856,0.0678,1.9624,0.2272,0.8826,0.8634,-0.0136,0.9905
-0.0141,-0.0144,0.0423,2.0763,0.2912,1.2011,1.1410,-0.0915,1.4146
-0.0076,-0.0032,0.0307,1.9707,0.3022,1.2409,1.2050,-0.0864,1.2542
-0.1241,-0.1251,0.0378,1.7870,0.2946,1.1782,1.1520,0.0428,1.0680
-0.1230,-0.1124,0.0092,1.5127,0.2855,1.2611,1.2220,0.0081,1.1373
-0.0801,-0.0701,0.0120,1.5954,0.3049,1.3007,1.2587,0.0088,1.8291
-0.1086,-0.1059,0.0251,1.5211,0.2765,1.1792,1.1723,0.0520,1.3382
-0.0508,-0.0402,0.0122,1.6660,0.2950,1.1601,1.2069,-0.0307,2.4826
-0.1222,-0.1105,0.0068,1.5152,0.2866,1.2628,1.2458,0.0354,1.7609
-0.0855,-0.0871,0.0323,1.4606,0.3033,1.1054,1.1464,0.0050,0.7986
-0.0530,-0.0771,0.0771,1.4372,0.2443,0.9678,0.9806,0.0154,1.3756
0.0810,0.0636,0.0695,1.7362,0.2224,1.1135,1.0385,-0.1351,3.1106
-0.1198,-0.1145,0.0183,1.4423,0.2704,1.1603,1.1555,0.0447,1.4413
-0.0530,-0.0500,0.0256,1.5755,0.3131,1.1519,1.1272,-0.0538,0.7131
0.0107,0.0087,0.0344,1.5203,0.2953,1.0727,1.0517,-0.0868,1.4004
-0.1133,-0.1028,0.0078,1.4401,0.2703,1.2625,1.2430,0.0197,1.3983
-0.1428,-0.1584,0.0610,1.5005,0.2664,0.9343,0.9182,0.0746,0.9984
0.0705,0.0811,0.0072,1.4124,0.3008,1.3481,1.3774,-0.1007,3.2311
-0.0784,-0.0778,0.0312,1.6138,0.2365,1.1492,1.0663,-0.0073,1.3232
-0.1107,-0.1016,0.0105,1.4371,0.3739,1.2559,1.2878,0.0395,1.8355
